Shoulder,Waist,Torso Height,Leg Height,Thigh Radius
18.37,42.77,17.22,36.89,21.38
18.77,42.71,17.42,38.69,21.36
21.22,46.39,22.78,42.68,23.2
19.52,42.19,20.87,40.14,21.09
19.52,36.29,19.64,39.06,18.15
21.22,40.05,20.59,43.04,20.03
19.52,36.31,19.9,41.77,18.15
16.52,30.77,16.19,34.94,15.39
16.33,30.19,15.94,35.06,15.1
15.95,30.19,15.78,33.86,15.1
16.88,31.42,16.33,34.43,15.71
16.7,31.42,16.31,34.27,15.71
16.12,29.58,16.07,34.7,14.79
15.97,28.93,16.0,33.77,14.47
15.92,29.53,15.95,35.4,14.76
15.73,19.07,16.45,33.57,9.54
16.57,31.99,16.88,34.87,15.99
16.32,29.53,15.8,33.5,14.76
15.93,28.91,16.08,31.82,14.46
